iter	Passed	Remaining
0	139	25704
1	140	12841
2	143	8706
3	146	6646
4	150	5403
5	153	4571
6	156	3977
7	159	3535
8	163	3190
9	166	2913
10	169	2682
11	173	2495
12	176	2331
13	179	2195
14	181	2053
15	183	1936
16	186	1842
17	189	1761
18	193	1686
19	196	1621
20	197	1541
21	200	1487
22	204	1439
23	207	1392
24	211	1351
25	214	1310
26	217	1275
27	221	1240
28	224	1208
29	228	1178
30	231	1149
31	234	1121
32	237	1095
33	241	1071
34	244	1047
35	247	1026
36	251	1005
37	254	985
38	258	966
39	259	941
40	262	922
41	266	905
42	269	889
43	272	873
44	275	857
45	279	843
46	282	828
47	285	815
48	288	801
49	292	789
50	295	777
51	299	766
52	302	753
53	305	742
54	309	731
55	312	720
56	316	710
57	319	699
58	322	689
59	325	679
60	329	669
61	332	660
62	336	651
63	339	642
64	342	633
65	346	624
66	349	615
67	352	606
68	355	597
69	358	589
70	361	581
71	365	572
72	368	564
73	371	557
74	374	549
75	378	542
76	381	534
77	384	527
78	387	520
79	391	513
80	394	506
81	397	499
82	400	492
83	403	485
84	407	479
85	410	472
86	413	466
87	417	459
88	420	453
89	423	447
90	427	441
91	430	435
92	433	429
93	437	423
94	439	416
95	443	410
96	446	404
97	449	399
98	454	394
99	457	388
100	460	383
101	464	377
102	467	372
103	471	367
104	474	361
105	477	355
106	480	350
107	484	345
108	487	339
109	491	334
110	494	329
111	498	324
112	501	319
113	504	314
114	507	309
115	511	303
116	514	298
117	517	293
118	520	288
119	524	284
120	527	279
121	530	274
122	534	269
123	537	264
124	540	259
125	543	254
126	547	249
127	550	244
128	553	240
129	556	235
130	559	230
131	563	226
132	566	221
133	570	216
134	573	212
135	576	207
136	579	203
137	583	198
138	586	194
139	589	189
140	592	185
141	596	180
142	599	176
143	602	171
144	605	167
145	609	162
146	612	158
147	615	153
148	618	149
149	621	145
150	625	140
151	629	136
152	632	132
153	635	127
154	638	123
155	641	119
156	644	115
157	648	110
158	651	106
159	654	102
160	657	98
161	661	93
162	664	89
163	668	85
164	671	81
165	674	77
166	677	73
167	681	68
168	684	64
169	687	60
170	690	56
171	693	52
172	696	48
173	700	44
174	703	40
175	706	36
176	709	32
177	712	28
178	716	24
179	719	19
180	722	15
181	726	11
182	729	7
183	732	3
184	736	0
