iter	Passed	Remaining
0	158	29115
1	159	14555
2	162	9860
3	165	7499
4	169	6084
5	172	5135
6	175	4457
7	178	3946
8	181	3557
9	185	3245
10	188	2987
11	191	2766
12	195	2587
13	198	2427
14	200	2271
15	202	2136
16	205	2029
17	208	1935
18	211	1848
19	215	1775
20	215	1686
21	219	1624
22	222	1568
23	225	1516
24	229	1469
25	232	1423
26	235	1380
27	239	1341
28	242	1303
29	245	1268
30	248	1236
31	252	1207
32	255	1178
33	259	1151
34	262	1125
35	265	1099
36	268	1075
37	272	1052
38	275	1031
39	276	1003
40	280	984
41	283	966
42	286	947
43	290	929
44	293	911
45	296	896
46	299	880
47	303	865
48	306	851
49	310	837
50	313	824
51	316	810
52	320	798
53	323	785
54	327	773
55	330	761
56	334	750
57	337	739
58	341	729
59	344	718
60	348	707
61	351	697
62	354	687
63	357	676
64	361	667
65	364	657
66	368	649
67	371	639
68	375	631
69	378	622
70	382	613
71	385	605
72	389	597
73	392	589
74	396	581
75	400	574
76	403	566
77	407	559
78	411	551
79	414	544
80	418	537
81	422	530
82	426	523
83	429	516
84	433	509
85	436	502
86	439	495
87	442	488
88	446	481
89	449	474
90	453	468
91	456	461
92	459	454
93	463	448
94	466	441
95	470	435
96	473	429
97	476	423
98	480	417
99	483	410
100	487	405
101	490	399
102	494	393
103	497	387
104	501	381
105	504	375
106	507	370
107	510	364
108	514	358
109	517	352
110	520	347
111	524	341
112	527	336
113	531	330
114	535	325
115	538	320
116	542	315
117	545	309
118	549	304
119	552	299
120	556	294
121	559	288
122	563	283
123	566	278
124	569	273
125	573	268
126	577	263
127	580	258
128	584	253
129	587	248
130	591	243
131	595	239
132	599	234
133	603	229
134	606	224
135	610	219
136	613	214
137	616	210
138	619	205
139	623	200
140	626	195
141	629	190
142	633	185
143	636	181
144	639	176
145	642	171
146	646	167
147	649	162
148	653	157
149	656	153
150	660	148
151	663	144
152	681	142
153	685	137
154	688	133
155	691	128
156	695	124
157	698	119
158	702	114
159	705	110
160	709	105
161	713	101
162	717	96
163	720	92
164	723	87
165	727	83
166	731	78
167	734	74
168	738	69
169	741	65
170	745	61
171	749	56
172	752	52
173	756	47
174	760	43
175	763	39
176	767	34
177	771	30
178	774	25
179	778	21
180	782	17
181	785	12
182	789	8
183	792	4
184	796	0
