iter	Passed	Remaining
0	146	27034
1	147	13517
2	150	9148
3	154	6975
4	157	5661
5	160	4786
6	163	4158
7	166	3682
8	169	3324
9	173	3033
10	176	2791
11	179	2593
12	183	2422
13	186	2280
14	188	2134
15	190	2012
16	193	1915
17	196	1825
18	199	1746
19	203	1676
20	203	1592
21	207	1535
22	210	1482
23	213	1433
24	216	1388
25	220	1346
26	223	1305
27	226	1267
28	229	1233
29	232	1200
30	235	1170
31	238	1142
32	241	1114
33	245	1089
34	248	1066
35	252	1044
36	255	1023
37	259	1003
38	262	982
39	264	957
40	267	938
41	270	920
42	273	903
43	276	887
44	279	871
45	283	855
46	286	840
47	289	826
48	292	812
49	296	799
50	299	786
51	302	773
52	305	761
53	308	749
54	312	738
55	315	727
56	318	716
57	322	706
58	325	695
59	329	685
60	332	675
61	335	666
62	339	657
63	342	647
64	346	638
65	349	629
66	352	621
67	356	612
68	359	603
69	362	595
70	366	588
71	369	580
72	372	572
73	376	564
74	380	557
75	383	549
76	386	542
77	389	534
78	392	526
79	395	519
80	399	512
81	402	505
82	406	499
83	409	492
84	413	485
85	416	479
86	420	473
87	423	467
88	426	460
89	429	453
90	433	447
91	436	440
92	439	434
93	442	428
94	446	422
95	449	416
96	452	410
97	455	404
98	459	398
99	462	393
100	465	387
101	468	381
102	472	375
103	491	383
104	495	377
105	498	371
106	501	365
107	504	359
108	507	354
109	510	348
110	514	342
111	517	337
112	520	331
113	523	326
114	527	320
115	530	315
116	533	310
117	536	304
118	539	299
119	543	294
120	546	289
121	549	283
122	553	278
123	556	273
124	561	269
125	564	264
126	568	259
127	571	254
128	575	249
129	578	244
130	582	240
131	585	235
132	589	230
133	592	225
134	596	220
135	599	216
136	602	211
137	606	206
138	609	201
139	613	197
140	616	192
141	620	187
142	623	183
143	626	178
144	630	173
145	633	169
146	637	164
147	641	160
148	644	155
149	647	151
150	651	146
151	654	142
152	658	137
153	661	133
154	664	128
155	667	124
156	671	119
157	674	115
158	677	110
159	681	106
160	685	102
161	688	97
162	691	93
163	694	88
164	698	84
165	701	80
166	704	75
167	707	71
168	710	67
169	714	63
170	717	58
171	720	54
172	723	50
173	727	45
174	730	41
175	734	37
176	737	33
177	740	29
178	743	24
179	747	20
180	750	16
181	753	12
182	756	8
183	759	4
184	763	0
